image_name,latitude,longitude,timestamp,road_condition,problem_type,direction
frame_0000.jpg,43.12427374,-79.22259919,2025-11-29 21:10:16+00:00,safe,none,north
frame_0001.jpg,43.12430957,-79.22261177,2025-11-29 21:10:17+00:00,safe,none,north
frame_0002.jpg,43.12430957,-79.22261177,2025-11-29 21:10:17+00:00,safe,none,north
frame_0003.jpg,43.12441373,-79.22265731,2025-11-29 21:10:29+00:00,safe,none,north
frame_0004.jpg,43.12441373,-79.22265731,2025-11-29 21:10:29+00:00,safe,none,north
frame_0005.jpg,43.12449708,-79.22256457,2025-11-29 21:10:32+00:00,safe,none,north
frame_0006.jpg,43.12453288,-79.22243808,2025-11-29 21:10:34+00:00,safe,none,north
frame_0007.jpg,43.12465159,-79.22207929,2025-11-29 21:10:38+00:00,minor_issue,crack,north
frame_0008.jpg,43.12472695,-79.22189219,2025-11-29 21:10:40+00:00,minor_issue,crack,north
frame_0009.jpg,43.12484902,-79.22155856,2025-11-29 21:10:43+00:00,minor_issue,crack,north
frame_0010.jpg,43.12497347,-79.22122115,2025-11-29 21:10:46+00:00,minor_issue,crack,north
frame_0011.jpg,43.12509596,-79.22087466,2025-11-29 21:10:49+00:00,minor_issue,crack,north
frame_0012.jpg,43.12522517,-79.22051353,2025-11-29 21:10:52+00:00,minor_issue,crack,north
frame_0013.jpg,43.12535829,-79.22010769,2025-11-29 21:10:55+00:00,safe,none,north
frame_0014.jpg,43.12551638,-79.21968278,2025-11-29 21:10:58+00:00,safe,none,north
frame_0015.jpg,43.12567206,-79.21925577,2025-11-29 21:11:01+00:00,safe,none,north
frame_0016.jpg,43.1258231,-79.21885797,2025-11-29 21:11:04+00:00,safe,none,north
frame_0017.jpg,43.12596942,-79.21845647,2025-11-29 21:11:07+00:00,safe,none,north
frame_0018.jpg,43.1261113,-79.21804311,2025-11-29 21:11:10+00:00,safe,none,north
frame_0019.jpg,43.12625775,-79.21763975,2025-11-29 21:11:13+00:00,safe,none,north
frame_0020.jpg,43.12640152,-79.21725908,2025-11-29 21:11:16+00:00,minor_issue,crack,north
frame_0021.jpg,43.12654752,-79.21686823,2025-11-29 21:11:19+00:00,minor_issue,crack,north
frame_0022.jpg,43.12669472,-79.21648154,2025-11-29 21:11:22+00:00,minor_issue,crack,north
frame_0023.jpg,43.12681911,-79.21615636,2025-11-29 21:11:25+00:00,minor_issue,crack,north
frame_0024.jpg,43.12690825,-79.21591322,2025-11-29 21:11:28+00:00,minor_issue,crack,north
frame_0025.jpg,43.12695912,-79.21579647,2025-11-29 21:11:31+00:00,minor_issue,crack,north
frame_0026.jpg,43.12695912,-79.21579647,2025-11-29 21:11:31+00:00,minor_issue,crack,north
frame_0027.jpg,43.12695912,-79.21579647,2025-11-29 21:11:31+00:00,minor_issue,crack,north
frame_0028.jpg,43.12695912,-79.21579647,2025-11-29 21:11:31+00:00,minor_issue,crack,north
frame_0029.jpg,43.12695912,-79.21579647,2025-11-29 21:11:31+00:00,minor_issue,crack,north
frame_0030.jpg,43.12702126,-79.21560854,2025-11-29 21:11:59+00:00,minor_issue,crack,north
frame_0031.jpg,43.12702126,-79.21560854,2025-11-29 21:11:59+00:00,minor_issue,none,east
frame_0032.jpg,43.12702126,-79.21560854,2025-11-29 21:11:59+00:00,minor_issue,crack,east
frame_0033.jpg,43.12702126,-79.21560854,2025-11-29 21:11:59+00:00,minor_issue,crack,east
frame_0034.jpg,43.12702126,-79.21560854,2025-11-29 21:11:59+00:00,minor_issue,crack,east
frame_0035.jpg,43.12709216,-79.2154156,2025-11-29 21:12:01+00:00,minor_issue,crack,east
frame_0036.jpg,43.12725727,-79.2150124,2025-11-29 21:12:05+00:00,minor_issue,crack,south
frame_0037.jpg,43.12735858,-79.21474838,2025-11-29 21:12:07+00:00,minor_issue,crack,south
frame_0038.jpg,43.12753612,-79.21430769,2025-11-29 21:12:10+00:00,minor_issue,crack,south
frame_0039.jpg,43.12773356,-79.21382711,2025-11-29 21:12:13+00:00,minor_issue,crack,south
frame_0040.jpg,43.12793606,-79.21333913,2025-11-29 21:12:16+00:00,minor_issue,crack,south
frame_0041.jpg,43.12812596,-79.21287786,2025-11-29 21:12:19+00:00,minor_issue,crack,south
frame_0042.jpg,43.12829433,-79.21244291,2025-11-29 21:12:22+00:00,minor_issue,crack,south
